,interaction,reward,relative_interaction,hyp_discovered_before,scenario_number,datetime
234,11.0,0.0,,-5.0,7,2024-01-26_23-35-15
235,12.0,0.0,,-5.0,7,2024-01-26_23-35-15
236,13.0,4.286,7.0,-5.0,7,2024-01-26_23-35-15
237,14.0,3.571,8.0,-5.0,7,2024-01-26_23-35-15
238,15.0,3.81,9.0,-5.0,7,2024-01-26_23-35-15
239,16.0,4.667,10.0,-5.0,7,2024-01-26_23-35-15
240,1.0,1.429,,,5,2024-01-27_00-06-57
241,2.0,1.039,,,5,2024-01-27_00-06-57
242,3.0,1.714,,,5,2024-01-27_00-06-57
243,4.0,-0.879,,,5,2024-01-27_00-06-57
244,5.0,0.952,,,5,2024-01-27_00-06-57
245,6.0,-3.125,,,5,2024-01-27_00-06-57
246,7.0,1.714,,,5,2024-01-27_00-06-57
247,8.0,-1.111,,,5,2024-01-27_00-06-57
248,9.0,1.0,,,5,2024-01-27_00-06-57
249,10.0,-0.556,,,5,2024-01-27_00-06-57
250,11.0,1.27,,,5,2024-01-27_00-06-57
251,12.0,2.778,,,5,2024-01-27_00-06-57
252,13.0,1.714,,,5,2024-01-27_00-06-57
253,14.0,-2.54,,,5,2024-01-27_00-06-57
254,15.0,1.039,,,5,2024-01-27_00-06-57
255,16.0,1.633,,,5,2024-01-27_00-06-57
256,17.0,-3.175,,,5,2024-01-27_00-06-57
257,18.0,1.481,,,5,2024-01-27_00-06-57
258,19.0,0.875,,,5,2024-01-27_00-06-57
259,20.0,-0.615,,,5,2024-01-27_00-06-57
260,21.0,-2.597,,,5,2024-01-27_00-06-57
261,22.0,0.741,,,5,2024-01-27_00-06-57
262,23.0,0.625,,,5,2024-01-27_00-06-57
263,24.0,1.705,,,5,2024-01-27_00-06-57
264,25.0,1.714,,,5,2024-01-27_00-06-57
265,26.0,-0.167,,,5,2024-01-27_00-06-57
266,27.0,-2.54,,,5,2024-01-27_00-06-57
267,1.0,1.455,-9.0,-1.0,3,2024-01-26_23-30-12
268,2.0,0.0,-8.0,-1.0,3,2024-01-26_23-30-12
269,3.0,0.0,-7.0,-1.0,3,2024-01-26_23-30-12
270,4.0,0.0,-6.0,-1.0,3,2024-01-26_23-30-12
271,5.0,-3.5,-5.0,-1.0,3,2024-01-26_23-30-12
272,6.0,-0.7,-4.0,-1.0,3,2024-01-26_23-30-12
273,7.0,-1.562,-3.0,-1.0,3,2024-01-26_23-30-12
274,8.0,2.5,-2.0,-1.0,3,2024-01-26_23-30-12
275,9.0,0.0,-1.0,-1.0,3,2024-01-26_23-30-12
276,10.0,-4.167,0.0,-1.0,3,2024-01-26_23-30-12
277,11.0,-0.893,,-1.0,3,2024-01-26_23-30-12
278,12.0,-4.0,,-1.0,3,2024-01-26_23-30-12
279,13.0,3.111,,-1.0,3,2024-01-26_23-30-12
280,14.0,3.571,,-1.0,3,2024-01-26_23-30-12
281,15.0,0.0,,-1.0,3,2024-01-26_23-30-12
282,16.0,4.0,6.0,-1.0,3,2024-01-26_23-30-12
283,17.0,3.571,,-1.0,3,2024-01-26_23-30-12
284,18.0,-0.893,,-1.0,3,2024-01-26_23-30-12
285,19.0,-2.5,,-1.0,3,2024-01-26_23-30-12
286,20.0,3.571,,-1.0,3,2024-01-26_23-30-12
287,1.0,1.453,-8.0,2.0,5,2024-01-27_01-24-19
288,2.0,2.375,-7.0,2.0,5,2024-01-27_01-24-19
289,3.0,2.078,-6.0,2.0,5,2024-01-27_01-24-19
290,4.0,3.125,-5.0,2.0,5,2024-01-27_01-24-19
291,5.0,2.604,-4.0,2.0,5,2024-01-27_01-24-19
292,6.0,1.5,-3.0,2.0,5,2024-01-27_01-24-19
293,7.0,-2.0,-2.0,2.0,5,2024-01-27_01-24-19
294,8.0,3.333,-1.0,2.0,5,2024-01-27_01-24-19
295,9.0,3.333,0.0,2.0,5,2024-01-27_01-24-19
296,10.0,-1.077,,2.0,5,2024-01-27_01-24-19
297,11.0,3.333,,2.0,5,2024-01-27_01-24-19
298,12.0,2.597,,2.0,5,2024-01-27_01-24-19
299,13.0,2.344,,2.0,5,2024-01-27_01-24-19
300,14.0,-2.5,,2.0,5,2024-01-27_01-24-19
301,15.0,1.481,,2.0,5,2024-01-27_01-24-19
302,16.0,2.778,,2.0,5,2024-01-27_01-24-19
303,17.0,2.273,,2.0,5,2024-01-27_01-24-19
304,18.0,0.0,,2.0,5,2024-01-27_01-24-19
305,19.0,0.5,,2.0,5,2024-01-27_01-24-19
306,20.0,0.994,,2.0,5,2024-01-27_01-24-19
307,21.0,2.222,,2.0,5,2024-01-27_01-24-19
308,22.0,3.111,,2.0,5,2024-01-27_01-24-19
309,23.0,1.75,,2.0,5,2024-01-27_01-24-19
310,24.0,2.273,,2.0,5,2024-01-27_01-24-19
311,25.0,2.8,16.0,2.0,5,2024-01-27_01-24-19
312,1.0,-1.667,-13.0,-11.0,1,2024-01-26_22-59-53
313,2.0,2.963,-12.0,-11.0,1,2024-01-26_22-59-53
314,3.0,-3.704,-11.0,-11.0,1,2024-01-26_22-59-53
315,4.0,0.0,-10.0,-11.0,1,2024-01-26_22-59-53
