,agent_type,scenario,reward,steps,interaction_num,duration,cost,datetime
104,reflexion,3,4.577999999999999,1099,10,22.62591025431951,7.528660000000001,2024-05-18_01-11-50
105,hm,4,-0.0979999999999994,1499,12,23.276616791884106,6.26547,2024-05-18_01-11-15
106,react_old,7,28.197000000000003,1199,10,15.127322642008464,5.500049999999999,2024-05-18_01-27-32
107,react_old,7,31.2,1099,8,10.320100438594816,5.016519999999999,2024-05-18_01-42-48
108,hm,4,-11.687,1199,11,20.77806172768275,5.56189,2024-05-18_01-36-51
109,reflexion,3,0.5789999999999993,1299,11,26.604231202602385,7.838570000000002,2024-05-18_01-36-01
110,reflexion,4,5.978000000000002,1099,10,20.88461924791336,5.681879999999999,2024-05-18_02-03-15
111,hm,4,-4.644999999999998,1399,12,27.30291528304418,8.5835,2024-05-18_02-01-16
112,reflexion,4,8.503,1599,13,35.734698645273845,13.22165,2024-05-18_02-24-23
113,reflexion,5,7.563000000000001,1499,13,29.496893882751465,10.580480000000003,2024-05-18_03-00-25
114,reflexion,5,-3.111,1199,10,24.852455314000448,8.43138,2024-05-18_03-30-17
115,reflexion,5,-2.6790000000000003,1499,13,26.92051920890808,9.889269999999998,2024-05-18_03-55-26
116,reflexion,6,1.8240000000000005,1399,11,28.676417259375253,12.01798,2024-05-18_04-22-33
117,reflexion,6,-1.915999999999999,1699,12,32.210961095492046,14.091070000000007,2024-05-18_04-51-21
118,reflexion,6,-1.685,1699,15,24.33780090411504,9.20587,2024-05-18_05-23-42
119,reflexion,7,-1.010000000000001,1899,14,39.9912557999293,16.00108,2024-05-18_05-48-10
120,reflexion,7,3.387,1299,11,23.56958889166514,8.682599999999999,2024-05-18_06-28-18
121,reflexion,7,22.731,1599,11,31.67937401533127,11.884330000000004,2024-05-18_06-52-00
122,hm,5,21.151000000000003,1599,12,25.261193180084227,10.872329999999998,2024-05-18_14-32-46
123,hm,5,12.367,1199,9,20.28083990414937,8.661070000000002,2024-05-18_14-58-09
124,hm,5,33.278000000000006,1599,14,24.302982723712923,10.285290000000003,2024-05-18_15-18-32
125,hm,6,25.485,1199,9,18.94969886938731,7.887180000000002,2024-05-18_15-42-59
126,hm,6,24.012000000000004,1799,13,24.84208539326986,10.253290000000003,2024-05-18_16-02-04
127,react_old,0,-13.665,1299,9,6.330869619051615,3.252425,2024-05-18_16-38-08
128,hm,0,33.444,1099,8,7.637609843413035,3.321585,2024-05-18_16-37-39
129,reflexion,0,-7.713,1099,8,11.492250835895538,4.627205,2024-05-18_16-37-56
130,hm,6,41.752,1799,15,24.313293480873103,9.971090000000002,2024-05-18_16-27-07
131,hm,0,6.512,1599,11,12.70232334136963,5.126665000000002,2024-05-18_16-45-24
132,react_old,0,32.468,2799,24,14.303707460562388,6.099710000000001,2024-05-18_16-44-37
133,hm,7,33.534,1299,11,17.560898705323538,6.2003,2024-05-18_16-51-36
134,react_old,0,4.958,1199,8,13.982375999291738,6.768519999999999,2024-05-18_17-03-11
135,hm,0,-4.87,1099,8,15.796972620487214,5.296580000000001,2024-05-18_17-03-41
136,reflexion,0,9.884,1099,8,21.23677337964376,8.628910000000003,2024-05-18_17-03-33
137,hm,7,25.906,1199,9,19.75999679962793,8.34298,2024-05-18_17-09-19
138,hm,7,29.468,1099,8,13.15871174732844,4.13125,2024-05-18_17-29-11
139,react_old,0,20.164,3099,28,28.511988055706023,14.628540000000005,2024-05-18_17-17-19
140,reflexion,0,-3.0320000000000005,1199,9,24.915065666039784,9.83323,2024-05-18_17-24-55
141,hm,0,30.671,2499,21,39.415460701783495,14.94184,2024-05-18_17-19-41
142,react_old,1,-4.452000000000001,1699,12,13.561782252788545,7.191420000000001,2024-05-18_17-46-10
143,react_old,1,-10.58,1499,10,13.02782701253891,7.02376,2024-05-18_17-59-51
144,react_old,1,-4.707,1499,12,13.271063097318011,7.09321,2024-05-18_18-12-59
145,hm,1,-5.909000000000002,1899,15,29.43540150324504,11.247939999999996,2024-05-18_17-59-26
146,reflexion,1,-15.532,2099,16,39.48888206879298,16.206910000000004,2024-05-18_17-49-56
147,react_old,2,2.931,1899,15,16.89030371507009,9.49813,2024-05-18_18-26-24
148,hm,1,-8.276,1099,7,16.317384628454842,6.908309999999998,2024-05-18_18-29-16
149,react_old,2,-31.666999999999994,1399,12,11.350395305951436,4.857709999999999,2024-05-18_18-43-38
150,reflexion,1,-6.079,1299,10,25.622984715302785,10.1685,2024-05-18_18-29-34
151,hm,1,5.591000000000001,1299,10,21.358746167023977,8.500000000000002,2024-05-18_18-45-41
152,react_old,2,5.788000000000002,2199,18,20.524142372608186,11.08066,2024-05-18_18-55-07
153,reflexion,1,3.3440000000000003,1299,11,23.79624099334081,9.46311,2024-05-18_18-55-18
