,agent_type,scenario,reward,steps,duration,cost,datetime,gpt_version,interaction_num
57,v3,2,96.522,1799,59.36696816682816,7.785790000000003,2024-01-25_12-22-39,,
58,v3,8,62.987,1099,40.70068590641021,5.448659999999999,2024-01-25_12-42-27,,
59,v2,1,12.925,1199,57.80571636358897,5.520600000000001,2024-01-25_12-28-09,,
60,v2,0,38.32900000000001,1499,64.73565220435461,7.212640000000002,2024-01-25_12-24-11,,
61,v4,7,86.26100000000001,1799,58.61294285853704,7.81433,2024-01-25_13-02-37,,
62,v2,2,53.263,1199,48.378002913792926,6.188860000000003,2024-01-25_13-26-04,,
63,v3,4,77.274,1599,56.495164358615874,8.129820000000002,2024-01-25_13-23-09,,
64,v2,1,-13.419,1099,50.79221562147141,5.511320000000001,2024-01-25_13-28-52,,
65,v4,5,17.636999999999997,2499,125.4717018087705,23.17778000000001,2024-01-25_12-19-37,,
66,v3,3,34.497,1399,76.02766358057657,10.19345,2024-01-25_13-22-06,,
67,v2,2,36.811,1099,40.56025460561116,5.222579999999998,2024-01-25_14-19-42,,
68,v3,5,23.756,1199,54.68909210761388,8.903250000000005,2024-01-25_14-19-37,,
69,v4,6,64.411,1599,53.60753843784333,7.122970000000001,2024-01-25_14-25-05,,
70,v2,1,-1.1149999999999998,1499,54.80855669577917,5.950309999999999,2024-01-25_14-28-28,,
71,v2,1,-21.065,1499,58.927395566304526,6.514599999999999,2024-01-25_14-31-39,,
72,v4,8,52.087,1099,44.29733238617579,6.42892,2024-01-25_14-55-13,,
73,v4,7,60.095000000000006,1099,37.577828176816304,4.918920000000003,2024-01-25_15-18-41,,
74,v2,3,32.581999999999994,1199,64.8124397555987,5.95615,2024-01-25_15-00-21,,
75,v2,3,128.816,2999,116.15128473440808,15.46047999999999,2024-01-25_14-14-25,,
76,v3,4,119.43500000000004,2399,96.93838166793188,12.937270000000003,2024-01-25_14-38-04,,
77,v4,0,69.42999999999999,1199,39.466538679599765,5.199489999999999,2024-01-25_15-39-30,,
78,v2,2,61.6,1499,59.79350060621898,7.661320000000004,2024-01-25_15-30-38,,
79,v2,2,84.58900000000001,2199,84.33224843740463,10.933450000000002,2024-01-25_15-23-17,,
80,v2,4,29.96,1199,45.42782082557678,5.351880000000001,2024-01-25_16-05-05,,
81,v2,4,78.70100000000001,1499,60.55780570904414,7.748680000000002,2024-01-25_16-10-31,,
